vader_running_avg	Close_running_avg
0.004304088	112.9819977
0.019029726	115.1319977
0.04819034	117.047998
0.085049667	119.6919983
0.093312145	121.5599991
0.089404207	123.9040009
0.113297414	125.8900009
0.089302966	126.6800003
0.106260108	128.6520004
0.169030248	132.9220001
0.189249848	135.4019989
0.200481933	138.5319977
0.249828654	145.1519989
0.282886503	154.047998
0.224144708	158.6299988
0.199033891	164.4959991
0.23660523	171.8920013
0.246324409	177.4920013
0.243218282	179.9080017
0.30507534	185.5279999
0.343047602	190.2459991
0.344314452	194.2219971
0.343271704	198.0319977
0.306423317	199.4139984
0.290099819	199.3899994
0.285369281	201.8779999
0.298120779	204.4680023
0.260467442	203.4119995
0.276489793	205.6959991
0.261314893	206.2419983
0.216084021	204.5639984
0.183636497	202.1299988
0.192719826	201.0980011
0.21136471	200.9620026
0.237148854	202.6300049
0.242578889	203.0120056
0.209419205	200.7780029
0.232317262	200.9600006
0.168264683	198.1959991
0.105533071	194.5959991
0.079231225	190.4419983
0.053548871	186.8459991
-0.001937198	181.976001
0.001000504	178.1100006
0.046490976	177.2199982
0.061617921	176.9099976
0.09736023	179.1519989
0.078731871	180.4899994
0.089442114	182.2440002
0.087486231	185.1080017
0.090158178	187.2480011
0.073021856	188.8660004
0.05458347	190.9220001
0.052972557	192.6339996
0.018685315	190.9559998
0.025098275	191.502002
0.011065911	192.1140015
0.090724591	195.5240021
0.077199947	196.1160034
0.06228554	196.7940033
0.004648474	195.1220032
-0.006460185	193.0780029
-0.050273247	188.4880005
-0.012169032	186.8919983
-0.002890539	184.4839966
0.045834571	184.5599945
0.06683772	184.547995
0.094037472	185.0539948
0.061080695	184.5579956
0.044557159	184.5679962
0.018130946	179.9859985
0.029143538	176.0019989
-0.005393021	171.1040009
0.005688805	166.376001
0.001914907	161.0080017
0.03578097	160.4480011
0.083257721	160.2940002
0.100602919	160.15
0.108333891	160.0779999
0.15910014	161.45
0.182788697	161.6519989
0.174914633	162.8019989
0.196760977	164.7939972
0.184880717	166.5619965
0.166588612	168.147995
0.14674349	170.323996
0.09486104	169.9079956
0.071571323	168.8199982
0.099622237	168.2940002
0.135196756	169.3580017
0.171315262	170.3200012
0.232369355	172.752002
0.283091472	177.2559998
0.277380233	181.1059998
0.24580029	182.9139984
0.218444301	184.4299988
0.212041953	187.0359985
0.190629802	189.4940002
0.190598653	193.1259979
0.233610757	198.05
0.263786807	203.95
0.249426879	208.8380005
0.285545108	212.8679993
0.308675147	216.9960022
0.314751776	222.4640015
0.309593687	228.55
0.328227456	234.9940002
0.317656488	242.473999
0.317603858	248.9179993
0.290748591	253.1259979
0.279942174	256.3540009
0.293645447	261.2780029
0.264927806	261.4280029
0.265430086	262.9919983
0.265119709	263.1320007
0.226090157	259.2339996
0.216293108	254.3859985
0.249159251	253.7419983
0.247076238	252.3200012
0.285395934	253.3539978
0.34632259	261.1079987
0.358775505	267.5619995
0.328468395	271.6220032
0.343723145	275.0080017
0.297148382	276.576001
0.241880196	274.5700012
0.208698913	272.4719971
0.228095352	272.7439941
0.222679465	274.1339966
0.252563355	278.2880005
0.300315187	282.997998
0.292216691	286.852002
0.245922729	283.852002
0.192238224	279.5799988
0.182284813	275.3159973
0.139601708	269.7039978
0.093235466	264.3219971
0.066170592	262.8839996
0.08685101	264.1680023
0.055168562	263.8420013
0.014229225	263.0000031
0.012251861	260.952002
0.039931338	261.6740021
0.023968246	259.1580017
0.014745725	255.9620026
0.032149179	253.6880005
0.013412234	251.3040009
0.007312499	248.5079987
-0.027844666	246.2659973
-0.068544506	243.9279968
-0.108691798	240.5799988
-0.108761488	237.2619995
-0.143461542	232.0380005
-0.141469926	226.6060028
-0.087193576	224.9100037
-0.042811031	224.9560028
0.003961588	227.2080017
0.025461812	229.3720001
0.047881265	233.9919983
0.01448272	235.5
0.038431426	240.297998
0.023811986	244.3059967
0.056654666	249.9139954
0.056725226	251.197995
0.103950114	254.7319916
0.108151206	253.6799927
0.149170337	252.597995
0.144618079	250.6819977
0.184816492	256.3959961
0.168632337	258.5940002
0.180594476	262.4699982
0.190878185	267.3799988
0.232223881	272.5580017
0.194321426	270.8980042
0.203442423	270.702002
0.184248881	268.9600037
0.151274449	264.8920013
0.098775407	258.9899994
0.12623834	255.3320007
0.121734484	250.8559998
0.118488002	246.4380005
0.145456539	244.5740021
0.157576162	245.6420013
0.132979046	246.5640015
0.103921748	247.0460022
0.131094403	251.1780029
0.13369555	253.9119995
0.149510145	255.973999
0.179857502	257.5880005
0.2426993	261.0059998
0.237697319	261.3719971
0.214738026	261.1359985
0.188670348	259.2539978
0.174588923	258.1039948
0.156196615	256.3499969
0.113854178	252.2879974
0.061601296	244.5359985
0.031288344	236.7100006
-0.011378883	228.3420013
-0.037790234	220.676001
-0.068031003	214.6240021
-0.07354479	211.7540009
-0.075632708	210.8160004
-0.087608163	207.8720001
-0.10270482	204.7359985
-0.03490407	203.3839996
0.055100623	205.9339996
0.104721071	208.4660004
0.153017915	212.8480011
0.192444697	217.1160004
0.20214107	220.4059998
0.164229912	218.7
0.164881794	217.6379974
0.203559782	218.5259979
0.239648893	221.5720001
0.240331758	225.7179993
0.253280187	230.4399994
0.244239631	234.3700012
0.21557102	236.7480011
0.185700457	237.5059998
0.147753719	235.7800018
0.181484597	236.152002
0.201909462	236.5080017
0.244792944	238.7320007
0.248061999	239.3200012
0.270613949	240.4940002
0.242472058	241.1700012
0.228260168	241.0700012
0.193893701	239.4700012
0.192738572	238.5160004
0.207811315	239.0279999
0.221682578	240.0299988
0.244527085	240.8619995
